                                    Name     ID    state     time(us)             time(ms)
                                     REG      0        0    139566813          0.0000
                                    EXIT      1        0    139568857          2.0440
                              FrontCover      2        1    139570094          3.2810
                      MainTray_PaperFeed      3        0    139572759          5.9460
                        MainTray_PaperIn      4        1    139574770          7.9570
                      ManualTray_PaperIn      5        0    139576731          9.9180
                                  Deskew      6        0    139578735         11.9220
                                FuserOut      7        0    139580674         13.8610
                               BackCover      8        1    139582029         15.2160
                              PaperShift      9        1    139584668         17.8550
                                  Duplex     10        0    139586717         19.9040
                         HivChargerError     11        0    139588826         22.0130
                                 LAMP_SW      0        0    139589090         22.2770
                                  HV_CHG      1        0    139591079         24.2660
                                  HV_DEV      2        0    139593069         26.2560
                              HV_DEV_REV      3        0    139595063         28.2500
                                 HV_GRID      4        0    139597055         30.2420
                                HV_TRANS      5        0    139599051         32.2380
                             HV_TRANSREV      6        0    139601043         34.2300
                          MAIN_MOTOR_DIR      7        1    139603036         36.2230
                           MAIN_MOTOR_EN      8        0    139605029         38.2160
                                FW_RESET      9        0    139607026         40.2130
                           EXIT_MOTOR_EN     10        0    139609017         42.2040
                   PAPER_SHIFT_MOTOR_MS1     11        0    139611010         44.1970
                   PAPER_SHIFT_MOTOR_MS2     12        0    139613002         46.1890
                           PICKUP_CLUTCH     13        0    139614997         48.1840
                           DESKEW_CLUTCH     14        0    139616989         50.1760
                             V24_CONTROL     15        1    139618984         52.1710
                       MOTOR_CURRENT_LOW     16        1    139620976         54.1630
                      IR_SENSOR_POWER_EN     17        0    139622971         56.1580
                          EXIT_MOTOR_DIR     18        1    139624963         58.1500
                   PAPER_SHIFT_MOTOR_DIR     19        0    139626957         60.1440
                         SENSOR_POWER_EN     20        1    139628950         62.1370
                                  V24_EN     21        1    139630943         64.1300
                    MANUAL_PICKUP_CLUTCH     22        1    139632937         66.1240
                    PAPER_SHIFT_MOTOR_EN     23        0    139634938         68.1250
                       FUSER_AC_POWER_SW     24        0    139636928         70.1150
                               Output_25     25        0    139638917         72.1040
                               ADF_COVER     15        0    139640950         74.1370
                            ADF_PAPER_IN     16        0    139640950         74.1370
                           ADF_PAPER_OUT     17        0    139640950         74.1370
                       SCAN_MOTOR_ENABLE     31        0    139640950         74.1370
                          SCAN_DMA_START     32        0    139640950         74.1370
                          SCAN_DMA_START     32        0    139642928         76.1150
                                  V24_EN     21        1    149436576       9869.7630
                             V24_CONTROL     15        1    149535956       9969.1430
                               Output_25     25        1    149635622      10068.8090
                         SENSOR_POWER_EN     20        1    149735674      10168.8610
                      IR_SENSOR_POWER_EN     17        1    150238049      10671.2360
                                 LAMP_SW      0        1    150431373      10864.5600
                                 LAMP_SW      0        0    152325121      12758.3080
                                 LAMP_SW      0        1    152424717      12857.9040
                                 LAMP_SW      0        0    152524441      12957.6280
                                FW_RESET      9        1    152899333      13332.5200
                                 LAMP_SW      0        1    152923286      13356.4730
                                FW_RESET      9        0    152998473      13431.6600
                                  HV_DEV      2        0    158305764      18738.9510
                              HV_DEV_REV      3        0    158305942      18739.1290
                                  HV_CHG      1        0    158306314      18739.5010
                                HV_TRANS      5        0    158306466      18739.6530
                             HV_TRANSREV      6        0    158306617      18739.8040
                              HV_DEV_REV      3        1    158307394      18740.5810
                             HV_TRANSREV      6        1    158307699      18740.8860
                           MAIN_MOTOR_EN      8        1    158506612      18939.7990
                                  HV_CHG      1        1    158706093      19139.2800
                       MOTOR_CURRENT_LOW     16        0    158706112      19139.2990
                         HivChargerError     11        1    158712210      19145.3970
                         HivChargerError     11        0    158712491      19145.6780
                                  HV_DEV      2        1    158954898      19388.0850
                                 LAMP_SW      0        0    162391557      22824.7440
                           DESKEW_CLUTCH     14        1    162393743      22826.9300
                           PICKUP_CLUTCH     13        1    162395316      22828.5030
                    MANUAL_PICKUP_CLUTCH     22        0    162491697      22924.8840
                                 LAMP_SW      0        1    162492616      22925.8030
                      MainTray_PaperFeed      3        1    162569930      23003.1170
                                 LAMP_SW      0        0    162591027      23024.2140
                                 LAMP_SW      0        1    162690688      23123.8750
                                 LAMP_SW      0        0    162790366      23223.5530
                                  Deskew      6        1    162986455      23419.6420
                                HV_TRANS      5        1    162991768      23424.9550
                             HV_TRANSREV      6        0    162991929      23425.1160
                           DESKEW_CLUTCH     14        0    163039148      23472.3350
                           DESKEW_CLUTCH     14        1    163079010      23512.1970
                           PICKUP_CLUTCH     13        0    163198630      23631.8170
                                     REG      0        1    163262289      23695.4760
                                FuserOut      7        1    164257657      24690.8440
                          EXIT_MOTOR_DIR     18        1    164263445      24696.6320
                           EXIT_MOTOR_EN     10        1    164263717      24696.9040
                      MainTray_PaperFeed      3        0    164362252      24795.4390
                      MainTray_PaperFeed      3        1    164362274      24795.4610
                      MainTray_PaperFeed      3        0    164362283      24795.4700
                                    EXIT      1        1    164673248      25106.4350
                                  Deskew      6        0    164756527      25189.7140
                                     REG      0        0    165016810      25449.9970
                                FuserOut      7        0    166073116      26506.3030
                           EXIT_MOTOR_EN     10        0    166197022      26630.2090
                          EXIT_MOTOR_DIR     18        0    166225333      26658.5200
                           EXIT_MOTOR_EN     10        1    166225605      26658.7920
                                 LAMP_SW      0        1    166777048      27210.2350
                                 LAMP_SW      0        0    166876757      27309.9440
                                 LAMP_SW      0        1    166976385      27409.5720
                                  Duplex     10        1    167569978      28003.1650
                                    EXIT      1        0    167856408      28289.5950
                                  Deskew      6        1    168424542      28857.7290
                           EXIT_MOTOR_EN     10        0    168449518      28882.7050
                           DESKEW_CLUTCH     14        0    168477016      28910.2030
